name,address,price,category,rating,url
물랑,"종로구 자하문로 16길 8, Seoul, 03043, 한국",₩₩₩ (다소 고가),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/moulin
보르고 한남,"용산구 이태원로 54길 31, 3층, Seoul, 04400, 한국",₩₩₩ (다소 고가),이탤리언,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/borgo-hannam
광화문 국밥,"중구 세종대로 21길 53, Seoul, 04519, 한국",₩ (저렴),돼지국밥,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gwanghwamun-gukbap
레귬,"강남구 강남대로 652, 신사 스퀘어 2층, Seoul, 06027, 한국",₩₩ (보통),"비건, 베지테리안",1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/legume
오스테리아 오르조,"용산구 한남대로 20길 47, 2층, Seoul, 04419, 한국",₩₩ (보통),이탤리언,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/osteria-orzo
더 그린테이블,"종로구 율곡로 83, 아라리오 스페이스 5층, Seoul, 03058, 한국",₩₩₩ (다소 고가),프렌치 컨템퍼러리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/the-green-table
만족오향족발,"중구 서소문로 134-7, Seoul, 04514, 한국",₩ (저렴),족발,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/manjok-ohyang-jokbal
용금옥,"종로구 자하문로 41-2, Seoul, 03036, 한국",₩ (저렴),추어탕,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yonggeumok
유 유안,"종로구 새문안로 97, 포시즌스 호텔 11층, Seoul, 03183, 한국",₩₩₩₩ (고가),중식,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yu-yuan
마포옥,"마포구 토정로 312, Seoul, 04165, 한국",₩ (저렴),설렁탕,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mapo-ok
옥돌현옥,"송파구 오금로 36길 26-1, Seoul, 05700, 한국",₩ (저렴),냉면,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok
알레즈,"용산구 독서당로 89, Seoul, 04419, 한국",₩₩₩ (다소 고가),모던 요리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/al-aise
남포면옥,"중구 을지로 3길 24, Seoul, 04522, 한국",₩ (저렴),냉면,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/nampo-myeonok
소바키리 스즈,"중구 동호로 12길 98, Seoul, 한국",₩ (저렴),소바,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sobakeeri-suzu
시오,"강남구 도산대로 54길 33, Seoul, 06056, 한국",₩₩₩ (다소 고가),"컨템퍼러리, 재패니즈 컨템퍼러리","0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/siio
진진,"마포구 월드컵북로 1길 60, Seoul, 04031, 한국",₩₩ (보통),중식,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jin-jin
레스토랑 주은,"서울 종로구 경희궁길 36, 경희당 8층, Seoul, 03175, 한국",₩₩₩ (다소 고가),"한식, 클래식 퀴진","0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/restaurant-jueun
오니바,"강남구 도산대로 75길 15, 지하 1층, Seoul, 06015, 한국",₩₩ (보통),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/onyva
나인스 게이트,"중구 소공로 106, 웨스틴 조선 호텔 1층, Seoul, 04533, 한국",₩₩₩ (다소 고가),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/the-ninth-gate
